# Executed Hours Report for Gemini South 2018A
# Generated at 10 Aug 2018 12:29:49 GMT.
# Columns: Program ID,Allocated,Elapsed,Non-charged,Partner,Program
GS-2018A-T-1,20.00,0.00,0.00,0.00,0.00
GS-2018A-Q-901,8.00,0.00,0.00,0.00,0.00
GS-2018A-Q-421,2.00,0.00,0.00,0.00,0.00
GS-2018A-Q-420,8.70,0.00,0.00,0.00,0.00
GS-2018A-Q-419,10.00,0.00,0.00,0.00,0.00
GS-2018A-Q-418,11.20,0.00,0.00,0.00,0.00
GS-2018A-Q-417,0.30,0.00,0.00,0.00,0.00
GS-2018A-Q-416,53.80,0.00,0.00,0.00,0.00
GS-2018A-Q-415,12.10,0.00,0.00,0.00,0.00
GS-2018A-Q-414,7.50,0.00,0.00,0.00,0.00
GS-2018A-Q-413,16.00,0.00,0.00,0.00,0.00
GS-2018A-Q-412,1.00,0.00,0.00,0.00,0.00
GS-2018A-Q-411,15.00,0.00,0.00,0.00,0.00
GS-2018A-Q-410,79.00,0.00,0.00,0.00,0.00
GS-2018A-Q-409,17.00,0.00,0.00,0.00,0.00
GS-2018A-Q-408,5.40,0.00,0.00,0.00,0.00
GS-2018A-Q-407,1.20,0.00,0.00,0.00,0.00
GS-2018A-Q-406,7.90,0.00,0.00,0.00,0.00
GS-2018A-Q-405,7.00,0.00,0.00,0.00,0.00
GS-2018A-Q-404,9.90,0.00,0.00,0.00,0.00
GS-2018A-Q-403,1.10,0.00,0.00,0.00,0.00
GS-2018A-Q-402,30.00,0.00,0.00,0.00,0.00
GS-2018A-Q-401,3.04,0.00,0.00,0.00,0.00
GS-2018A-Q-324,2.20,0.00,0.00,0.00,0.00
GS-2018A-Q-323,5.50,0.00,0.00,0.00,0.00
GS-2018A-Q-322,6.40,0.00,0.00,0.00,0.00
GS-2018A-Q-321,14.88,0.00,0.00,0.00,0.00
GS-2018A-Q-320,14.36,0.00,0.00,0.00,0.00
GS-2018A-Q-319,3.30,0.00,0.00,0.00,0.00
GS-2018A-Q-318,8.00,0.00,0.00,0.00,0.00
GS-2018A-Q-317,3.64,0.00,0.00,0.00,0.00
GS-2018A-Q-316,11.20,0.00,0.00,0.00,0.00
GS-2018A-Q-315,26.83,0.00,0.00,0.00,0.00
GS-2018A-Q-314,11.82,0.00,0.00,0.00,0.00
GS-2018A-Q-313,2.20,0.00,0.00,0.00,0.00
GS-2018A-Q-312,25.20,0.00,0.00,0.00,0.00
GS-2018A-Q-311,10.27,0.00,0.00,0.00,0.00
GS-2018A-Q-310,3.00,0.00,0.00,0.00,0.00
GS-2018A-Q-309,15.70,0.00,0.00,0.00,0.00
GS-2018A-Q-308,10.54,0.00,0.00,0.00,0.00
GS-2018A-Q-307,8.00,0.00,0.00,0.00,0.00
GS-2018A-Q-306,14.55,0.00,0.00,0.00,0.00
GS-2018A-Q-305,7.50,0.00,0.00,0.00,0.00
GS-2018A-Q-304,15.50,0.00,0.00,0.00,0.00
GS-2018A-Q-303,25.70,0.00,0.00,0.00,0.00
GS-2018A-Q-302,13.09,0.00,0.00,0.00,0.00
GS-2018A-Q-301,2.60,0.00,0.00,0.00,0.00
GS-2018A-Q-233,30.77,0.00,0.00,0.00,0.00
GS-2018A-Q-232,17.15,0.00,0.00,0.00,0.00
GS-2018A-Q-231,0.50,0.00,0.00,0.00,0.00
GS-2018A-Q-230,2.50,0.00,0.00,0.00,0.00
GS-2018A-Q-229,5.00,0.00,0.00,0.00,0.00
GS-2018A-Q-228,5.50,0.00,0.00,0.00,0.00
GS-2018A-Q-227,5.45,0.00,0.00,0.00,0.00
GS-2018A-Q-226,3.00,0.00,0.00,0.00,0.00
GS-2018A-Q-225,3.18,0.00,0.00,0.00,0.00
GS-2018A-Q-224,10.91,0.00,0.00,0.00,0.00
GS-2018A-Q-223,8.00,0.00,0.00,0.00,0.00
GS-2018A-Q-222,3.20,0.00,0.00,0.00,0.00
GS-2018A-Q-221,7.20,0.00,0.00,0.00,0.00
GS-2018A-Q-220,4.76,0.00,0.00,0.00,0.00
GS-2018A-Q-219,7.82,0.00,0.00,0.00,0.00
GS-2018A-Q-218,20.00,0.00,0.00,0.00,0.00
GS-2018A-Q-217,12.60,0.00,0.00,0.00,0.00
GS-2018A-Q-216,10.50,0.00,0.00,0.00,0.00
GS-2018A-Q-215,4.00,0.00,0.00,0.00,0.00
GS-2018A-Q-214,9.96,0.00,0.00,0.00,0.00
GS-2018A-Q-213,14.09,0.00,0.00,0.00,0.00
GS-2018A-Q-212,14.09,0.00,0.00,0.00,0.00
GS-2018A-Q-211,5.64,0.00,0.00,0.00,0.00
GS-2018A-Q-210,25.50,0.00,0.00,0.00,0.00
GS-2018A-Q-209,4.55,0.00,0.00,0.00,0.00
GS-2018A-Q-208,2.73,0.00,0.00,0.00,0.00
GS-2018A-Q-207,4.20,0.00,0.00,0.00,0.00
GS-2018A-Q-206,2.20,0.00,0.00,0.00,0.00
GS-2018A-Q-205,4.66,0.00,0.00,0.00,0.00
GS-2018A-Q-204,2.10,0.00,0.00,0.00,0.00
GS-2018A-Q-203,4.64,0.00,0.00,0.00,0.00
GS-2018A-Q-202,20.00,0.00,0.00,0.00,0.00
GS-2018A-Q-201,1.20,0.00,0.00,0.00,0.00
