UT	Instrument	GMOS FPU	GMOS MOS	GMOS Disperser	F2 FPU	F2 MOS
----	-----	--------	--------	--------------	------	------
2018-04-01	GPI,cal,GMOS-S,IGRINS,Flamingos2,Visitor Instrument	all	all	all	all	all
2018-04-02	GPI,cal,GMOS-S,IGRINS,Flamingos2,Visitor Instrument	all	all	all	all	all
2018-04-03	GPI,cal,GMOS-S,IGRINS,Flamingos2,Visitor Instrument	all	all	all	all	all
2018-04-04	GPI,cal,GMOS-S,IGRINS,Flamingos2,Visitor Instrument	all	all	all	all	all
2018-04-05	GPI,cal,GMOS-S,IGRINS,Flamingos2,Visitor Instrument	all	all	all	all	all
2018-04-21	GSAOI,GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-04-22	GSAOI,GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-04-23	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-04-24	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-04-25	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-04-26	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-04-27	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-04-28	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-04-29	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-04-30	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-01	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-02	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-03	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-04	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-05	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-06	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-07	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-08	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-09	GPI,cal,GMOS-S,IGRINS,Flamingos2	all	all	all	all	all
2018-05-10	GPI,cal,GMOS-S,Canopus,Flamingos2	all	all	all	all	all
2018-05-11	GPI,cal,GMOS-S,Canopus,Flamingos2	all	all	all	all	all
2018-05-12	GPI,cal,GMOS-S,Canopus,Flamingos2	all	all	all	all	all
2018-05-13	GPI,cal,GMOS-S,Canopus,Flamingos2	all	all	all	all	all
2018-05-14	GPI,cal,GMOS-S,Canopus,Flamingos2	all	all	all	all	all
2018-05-15	GPI,cal,GMOS-S,Canopus,Flamingos2	all	all	all	all	all
2018-05-16	GPI,cal,GMOS-S,Canopus,Flamingos2	all	all	all	all	all
2018-05-17	GPI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-18	GPI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-19	GPI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-20	GPI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-21	GPI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-22	GPI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-23	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-24	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-25	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-26	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-27	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-28	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-29	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-30	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-05-31	GSAOI,cal,Canopus,Flamingos2	all	all	all	all	all
2018-06-01	GPI,cal,GMOS-S,IGRINS,Flamingos2,Visitor Instrument	all	all	all	all	all
